"func","def","fungen","pkg","pag","fungen_bad","sinpagina"
"as.character.condition","Condition Handling and Recovery","conditions","base","94",,
"as.character.Date","Date Conversion Functions to and from Character","as.Date","base","30",,
"as.character.hexmode","Integer Numbers Displayed in Hexadecimal","hexmode","base","257",,
"as.character.numeric_version","Numeric Versions","numeric_version","base","381",,
"as.character.octmode","Integer Numbers Displayed in Octal","octmode","base","382",,
"as.character.POSIXt","Date-time Conversion Functions to and from Character","strptime","base","547",,
"as.character.srcref","References to Source Files and Code","srcfile","base","535",,
"as.complex","Complex Numbers and Basic Functionality","complex","base","92",,
"as.data.frame","Coerce to a Data Frame","as.data.frame","base","28",,
"as.data.frame.AsIs","Coerce to a Data Frame","as.data.frame","base","28",,
"as.data.frame.Date","Date Class","Dates","base","125",,
"as.data.frame.numeric_version","Numeric Versions","numeric_version","base","381",,
"as.data.frame.POSIXct","Date-Time Classes","DateTimeClasses","base","126",,
"as.data.frame.table","Cross Tabulation and Table Creation","table","base","596",,
"as.Date","Date Conversion Functions to and from Character","as.Date","base","30",,
"as.difftime","Time Intervals / Differences","difftime","base","146",,
"as.double","Double-Precision Vectors","double","base","154",,
"as.double.difftime","Time Intervals / Differences","difftime","base","146",,
"as.double.POSIXlt","Date-time Conversion Functions","as.POSIXlt","base","1120",,
"as.environment","Coerce to an Environment Object","as.environment","base","33",,
"as.expression","Unevaluated Expressions","expression","base","182",,
"as.factor","Factors","factor","base","196",,
"as.function","Convert Object to Function","as.function","base","34",,
"as.hexmode","Integer Numbers Displayed in Hexadecimal","hexmode","base","257",,
"as.integer","Integer Vectors","integer","base","270",,
"as.list","Lists - Generic and Dotted Pairs","list","base","310",,
"as.list.Date","Date Class","Dates","base","125",,
"as.list.difftime","Time Intervals / Differences","difftime","base","146",,
"as.list.numeric_version","Numeric Versions","numeric_version","base","381",,
"as.list.POSIXct","Date-Time Classes","DateTimeClasses","base","126",,
"as.logical","Logical Vectors","logical","base","323",,
"as.matrix","Matrices","matrix","base","340",,
"as.matrix.noquote","Class for 'no quote' Printing of Character Strings","noquote","base","365",,
"as.matrix.POSIXlt","Date-Time Classes","DateTimeClasses","base","126",,
"as.name","Names and Symbols","name","base","358",,
"as.null","The Null Object","NULL","base","376",,
"as.numeric","Numeric Vectors","numeric","base","378",,
"as.numeric_version","Numeric Versions","numeric_version","base","381",,
"as.octmode","Integer Numbers Displayed in Octal","octmode","base","382",,
"as.ordered","Factors","factor","base","196",,
"as.package_version","Numeric Versions","numeric_version","base","381",,
"as.pairlist","Lists - Generic and Dotted Pairs","list","base","310",,
"as.POSIXct","Date-time Conversion Functions","as.POSIXlt","base","1120",,
"as.POSIXlt","Date-time Conversion Functions","as.POSIXlt","base","1120",,
"as.qr","The QR Decomposition of a Matrix","qr","base","426",,
"as.raw","Raw Vectors","raw","base","447",,
"as.single","Double-Precision Vectors","double","base","154",,
"as.symbol","Names and Symbols","name","base","358",,
"as.table","Cross Tabulation and Table Creation","table","base","596",,
"as.vector","Vectors - Creation, Coercion, etc","vector","base","643",,
"asin","Trigonometric Functions","Trig","base","625",,
"asinh","Hyperbolic Functions","Hyperbolic","base","259",,
"AsIs","Inhibit Interpretation/Conversion of Objects","AsIs","base","38",,
"asplit","Split Array/Matrix By Its Margins","asplit","base","39",,
"asS3","Test for an S4 object","isS4","base","283",,
"asS4","Test for an S4 object","isS4","base","283",,
"assign","Assign a Value to a Name","assign","base","40",,
"assignOps","Assignment Operators","assignOps","base","41",,
"atan","Trigonometric Functions","Trig","base","625",,
"atan2","Trigonometric Functions","Trig","base","625",,
"atanh","Hyperbolic Functions","Hyperbolic","base","259",,
"atomic","Vectors - Creation, Coercion, etc","vector","base","643",,
"attach","Attach Set of R Objects to Search Path","attach","base","42",,
"attachNamespace","Loading and Unloading Name Spaces","ns-load","base","373",,
"attr","Object Attributes","attr","base","44",,
"attr.all.equal","Test if Two Objects are (Nearly) Equal","all.equal","base","14",,
"attributes","Object Attribute Lists","attributes","base","45",,
"autoload","On-demand Loading of Packages","autoload","base","47",,
"autoloader","On-demand Loading of Packages","autoload","base","47",,
"Autoloads","On-demand Loading of Packages","autoload","base","47",,
"backquote","Quotes","Quotes","base","432",,
"backsolve","Solve an Upper or Lower Triangular System","backsolve","base","48",,
"backtick","Quotes","Quotes","base","432",,
"base","The R Base Package","base-package","base","3",,
"baseenv","Environment Access","environment","base","172",,
"basename","Manipulate File Paths","basename","base","49",,
"Bessel","Bessel Functions","Bessel","base","50",,
"bessel","Bessel Functions","Bessel","base","50",,
"besselI","Bessel Functions","Bessel","base","50",,
"besselJ","Bessel Functions","Bessel","base","50",,
"besselK","Bessel Functions","Bessel","base","50",,
"besselY","Bessel Functions","Bessel","base","50",,
"beta","Special Functions of Mathematics","Special","base","524",,
"bindenv","Binding and Environment Locking, Active Bindings","bindenv","base","53",,
"bindingIsActive","Binding and Environment Locking, Active Bindings","bindenv","base","53",,
"bindingIsLocked","Binding and Environment Locking, Active Bindings","bindenv","base","53",,
"bindtextdomain","Translate Text Messages","gettext","base","241",,
"bitwAnd","Bitwise Logical Operations","bitwise","base","55",,
"bitwNot","Bitwise Logical Operations","bitwise","base","55",,
"bitwOr","Bitwise Logical Operations","bitwise","base","55",,
"bitwShiftL","Bitwise Logical Operations","bitwise","base","55",,
"bitwShiftR","Bitwise Logical Operations","bitwise","base","55",,
"bitwXor","Bitwise Logical Operations","bitwise","base","55",,
"body","Access to and Manipulation of the Body of a Function","body","base","56",,
"bquote","Partial substitution in expressions","bquote","base","57",,
"break","Control Flow","Control","base","110",,
"browser","Environment Browser","browser","base","58",,
"browserCondition","Functions to Retrieve Values Supplied by Calls to the Browser","browserText","base","59",,
"browserSetDebug","Functions to Retrieve Values Supplied by Calls to the Browser","browserText","base","59",,
"browserText","Functions to Retrieve Values Supplied by Calls to the Browser","browserText","base","59",,
"builtins","Returns the Names of All Built-in Objects","builtins","base","60",,
"by","Apply a Function to a Data Frame Split by Factors","by","base","61",,
"bzfile","Functions to Manipulate Connections (Files, URLs, ...)","connections","base","99",,
"c","Combine Values into a Vector or List","c","base","62",,
"c.Date","Date Class","Dates","base","125",,
"c.difftime","Time Intervals / Differences","difftime","base","146",,
"c.factor","Factors","factor","base","196",,
"c.noquote","Class for 'no quote' Printing of Character Strings","noquote","base","365",,
"c.numeric_version","Numeric Versions","numeric_version","base","381",,
"c.POSIXct","Date-Time Classes","DateTimeClasses","base","126",,
"c.warnings","Print Warning Messages","warnings","base","648",,
"call","Function Calls","call","base","64",,
"callCC","Call With Current Continuation","callCC","base","65",,
"capabilities","Report Capabilities of this Build of R","capabilities","base","67",,
"casefold","Character Translation and Casefolding","chartr","base","77",,
"cat","Concatenate and Print","cat","base","69",,
"cbind","Combine R Objects by Rows or Columns","cbind","base","71",,
"cbind.data.frame","Combine R Objects by Rows or Columns","cbind","base","71",,
"ceiling","Rounding of Numbers","Round","base","478",,
"char.expand","Expand a String with Respect to a Target Table","char.expand","base","74",,
"character","Character Vectors","character","base","75",,
"charmatch","Partial String Matching","charmatch","base","76",,
"charToRaw","Convert to or from (Bit/Packed) Raw Vectors","rawConversion","base","450",,
"chartr","Character Translation and Casefolding","chartr","base","77",,
"check_tzones","Date-Time Classes","DateTimeClasses","base","126",,
"chkDots","Warn About Extraneous Arguments in the ""..."" of Its Caller","chkDots","base","79",,
"chol","The Cholesky Decomposition","chol","base","2306",,
"chol2inv","Inverse from Cholesky (or QR) Decomposition","chol2inv","base","82",,
"choose","Special Functions of Mathematics","Special","base","524",,
"class","Object Classes","class","base","2555",,
"clearPushBack","Push Text Back on to a Connection","pushBack","base","425",,
"clipboard","Functions to Manipulate Connections (Files, URLs, ...)","connections","base","99",,
"close","Functions to Manipulate Connections (Files, URLs, ...)","connections","base","99",,
"close.srcfile","References to Source Files and Code","srcfile","base","535",,
"close.srcfilealias","References to Source Files and Code","srcfile","base","535",,
"closeAllConnections","Display Connections","showConnections","base","508",,
"closure","Function Definition","function","base","228",,
"code point","Convert Integer Vectors to or from UTF-8-encoded Character Vectors","utf8Conversion","base","639",,
"col","Column Indexes","col","base","85",,
"collation","Relational Operators","Comparison","base","90",,
"colMeans","Form Row and Column Sums and Means","colSums","base","2312",,
"colnames","Row and Column Names","colnames","base","358",,
"colon","Colon Operator","Colon","base","86",,
"colSums","Form Row and Column Sums and Means","colSums","base","2312",,
"commandArgs","Extract Command Line Arguments","commandArgs","base","89",,
"comment","Query or Set a '""comment""' Attribute","comment","base","89",,
"Comparison","Relational Operators","Comparison","base","90",,
"Complex","S3 Group Generic Functions","groupGeneric","base","253",,
"complex","Complex Numbers and Basic Functionality","complex","base","92",,
"computeRestarts","Condition Handling and Recovery","conditions","base","94",,
"condition","Condition Handling and Recovery","conditions","base","94",,
"conditionCall","Condition Handling and Recovery","conditions","base","94",,
"conditionCall.condition","Condition Handling and Recovery","conditions","base","94",,
"conditionMessage","Condition Handling and Recovery","conditions","base","94",,
"conditionMessage.condition","Condition Handling and Recovery","conditions","base","94",,
"conditions","Condition Handling and Recovery","conditions","base","94",,
"conflictRules","Loading/Attaching and Listing of Packages","library","base","304",,
"conflicts","Search for Masked Objects on the Search Path","conflicts","base","98",,
"Conj","Complex Numbers and Basic Functionality","complex","base","92",,
"connection","Functions to Manipulate Connections (Files, URLs, ...)","connections","base","99",,
"connections","Functions to Manipulate Connections (Files, URLs, ...)","connections","base","99",,
"Constants","Built-in Constants","Constants","base","109",,
"contributors","R Project Contributors","contributors","base","110",,
"Control","Control Flow","Control","base","110",,
"copyright","Copyrights of Files Used to Build R","copyright","base","112",,
"copyrights","Copyrights of Files Used to Build R","copyright","base","112",,
"cos","Trigonometric Functions","Trig","base","625",,
"cosh","Hyperbolic Functions","Hyperbolic","base","259",,
"cospi","Trigonometric Functions","Trig","base","625",,
"crossprod","Matrix Crossproduct","crossprod","base","112",,
"CStackOverflowError","Stack Overflow Errors","StackOverflows","base","538",,
"Cstack_info","Report Information on C Stack Size and Usage","Cstack_info","base","113",,
"cummax","Cumulative Sums, Products, and Extremes","cumsum","base","114",,
"cummin","Cumulative Sums, Products, and Extremes","cumsum","base","114",,
"cumprod","Cumulative Sums, Products, and Extremes","cumsum","base","114",,
"cumsum","Cumulative Sums, Products, and Extremes","cumsum","base","114",,
"curlGetHeaders","Retrieve Headers from URLs","curlGetHeaders","base","115",,
"cut","Convert Numeric to Factor","cut","base","116",,
"cut.POSIXt","Convert a Date or Date-Time Object to a Factor","cut.POSIXt","base","118",,
"data.class","Object Classes","data.class","base","120",,
"data.frame","Data Frames","data.frame","base","121",,
"data.matrix","Convert a Data Frame to a Numeric Matrix","data.matrix","base","123",,
"Date","Date Class","Dates","base","125",,
"date","System Date and Time","date","base","124",,
"date-time","Date-Time Classes","DateTimeClasses","base","126",,
"Dates","Date Class","Dates","base","125",,
"DateTimeClasses","Date-Time Classes","DateTimeClasses","base","126",,
"debug","Debug a Function","debug","base","132",,
"debuggingState","Debug a Function","debug","base","132",,
"debugonce","Debug a Function","debug","base","132",,
"Defunct","Marking Objects as Defunct","Defunct","base","134",,
"defunct","Marking Objects as Defunct","Defunct","base","134",,
"delayedAssign","Delay Evaluation","delayedAssign","base","134",,
"deparse","Expression Deparsing","deparse","base","136",,
"deparse1","Expression Deparsing","deparse","base","136",,
"Deprecated","Marking Objects as Deprecated","Deprecated","base","140",,
"deprecated","Marking Objects as Deprecated","Deprecated","base","140",,
"det","Calculate the Determinant of a Matrix","det","base","141",,
"detach","Detach Objects from the Search Path","detach","base","142",,
"determinant","Calculate the Determinant of a Matrix","det","base","141",,
"dget","Write an Object to a File or Recreate it","dput","base","156",,
"diag","Matrix Diagonals","diag","base","144",,
"diff","Lagged Differences","diff","base","145",,
"diff.difftime","Time Intervals / Differences","difftime","base","146",,
"difftime","Time Intervals / Differences","difftime","base","146",,
"digamma","Special Functions of Mathematics","Special","base","524",,
"dim","Dimensions of an Object","dim","base","148",,
"dimnames","Dimnames of an Object","dimnames","base","149",,
"dir","List the Files in a Directory/Folder","list.files","base","312",,
"dir.create","Manipulation of Directories and File Permissions","files2","base","208",,
"dirname","Manipulate File Paths","basename","base","49",,
"DISPLAY","Environment Variables","EnvVar","base","175",,
"DLLInfo","Get DLLs Loaded in Current Session","getLoadedDLLs","base","238",,
"DLLInfoList","Get DLLs Loaded in Current Session","getLoadedDLLs","base","238",,
"DLLpath","Foreign Function Interface","dynload","base","315",,
"do.call","Execute a Function Call","do.call","base","151",,
"dontCheck","Identity Function to Suppress Checking","dontCheck","base","153",,
"dots","..., '..1', etc used in Functions","dots","base","153",,
"double","Double-Precision Vectors","double","base","154",,
"dput","Write an Object to a File or Recreate it","dput","base","156",,
"dQuote","Quote Text","sQuote","base","533",,
"drop","Drop Redundant Extent Information","drop","base","158",,
"droplevels","Drop Unused Levels from Factors","droplevels","base","159",,
"dump","Text Representations of R Objects","dump","base","160",,
"duplicated","Determine Duplicate Elements","duplicated","base","161",,
"duplicated.numeric_version","Numeric Versions","numeric_version","base","381",,
"duplicated.POSIXlt","Date-Time Classes","DateTimeClasses","base","126",,
"duplicated.warnings","Print Warning Messages","warnings","base","648",,
"dyn.load","Foreign Function Interface","dynload","base","315",,
"dyn.unload","Foreign Function Interface","dynload","base","315",,
"dynGet","Return the Value of a Named Object","get","base","235",,
"eapply","Apply a Function Over Values in an Environment","eapply","base","166",,
"EDITOR","Environment Variables","EnvVar","base","175",,
"eigen","Spectral Decomposition of a Matrix","eigen","base","167",,
"else","Control Flow","Control","base","110",,
"emptyenv","Environment Access","environment","base","172",,
"enc2native","Read or Set the Declared Encodings for a Character Vector","Encoding","base","170",,
"enc2utf8","Read or Set the Declared Encodings for a Character Vector","Encoding","base","170",,
"enclosure","Environment Access","environment","base","172",,
"encodeString","Encode Character Vector as for Printing","encodeString","base","169",,
"Encoding","Read or Set the Declared Encodings for a Character Vector","Encoding","base","170",,
"endsWith","Does String Start or End With Another String?","startsWith","base","539",,
"enquote","Substituting and Quoting Expressions","substitute","base","561",,
"env.profile","Environment Access","environment","base","172",,
"environment","Environment Access","environment","base","172",,
"environment variables","Environment Variables","EnvVar","base","175",,
"environmentIsLocked","Binding and Environment Locking, Active Bindings","bindenv","base","53",,
"environmentName","Environment Access","environment","base","172",,
"errorCondition","Condition Handling and Recovery","conditions","base","94",,
"eval","Evaluate an (Unevaluated) Expression","eval","base","177",,
"eval.parent","Evaluate an (Unevaluated) Expression","eval","base","177",,
"evalq","Evaluate an (Unevaluated) Expression","eval","base","177",,
"exists","Is an Object Defined?","exists","base","179",,
"exp","Logarithms and Exponentials","log","base","320","Log",1
"expand.grid","Create a Data Frame from All Combinations of Factor Variables","expand.grid","base","181",,
"expm1","Logarithms and Exponentials","log","base","320","Log",1
"expression","Unevaluated Expressions","expression","base","182",,
"expressionStackOverflowError","Stack Overflow Errors","StackOverflows","base","538",,
"Extract","Extract or Replace Parts of an Object","Extract","base","183",,
"extSoftVersion","Report Versions of Third-Party Software","extSoftVersion","base","195",,
"F","Logical Vectors","logical","base","323",,
"factor","Factors","factor","base","196",,
"factorial","Special Functions of Mathematics","Special","base","524",,
"FALSE","Logical Vectors","logical","base","323",,
"fifo","Functions to Manipulate Connections (Files, URLs, ...)","connections","base","99",,
"file","Functions to Manipulate Connections (Files, URLs, ...)","connections","base","99",,
"file path encoding","File Paths not in the Native Encoding","UTF8filepaths","base","641",,
"file.access","Ascertain File Accessibility","file.access","base","200",,
"file.append","File Manipulation","files","base","205",,
"file.choose","Choose a File Interactively","file.choose","base","201",,
"file.copy","File Manipulation","files","base","205",,
"file.create","File Manipulation","files","base","205",,
"file.exists","File Manipulation","files","base","205",,
"file.info","Extract File Information","file.info","base","201",,
"file.link","File Manipulation","files","base","205",,
"file.mode","Extract File Information","file.info","base","201",,
"file.mtime","Extract File Information","file.info","base","201",,
"file.path","Construct Path to File","file.path","base","203",,
"file.remove","File Manipulation","files","base","205",,
"file.rename","File Manipulation","files","base","205",,
"file.show","Display One or More Text Files","file.show","base","204",,
"file.size","Extract File Information","file.info","base","201",,
"file.symlink","File Manipulation","files","base","205",,
"files","File Manipulation","files","base","205",,
"Filter","Common Higher-Order Functions in Functional Programming Languages","funprog","base","229",,
"finalizer","Finalization of Objects","reg.finalizer","base","464",,
"Find","Common Higher-Order Functions in Functional Programming Languages","funprog","base","229",,
"find.package","Find Packages","find.package","base","209",,
"findInterval","Find Interval Numbers or Indices","findInterval","base","211",,
"findRestart","Condition Handling and Recovery","conditions","base","94",,
"finite","Finite, Infinite and NaN Numbers","is.finite","base","276",,
"floor","Rounding of Numbers","Round","base","478",,
"flush","Functions to Manipulate Connections (Files, URLs, ...)","connections","base","99",,
"for","Control Flow","Control","base","110",,
"force","Force Evaluation of an Argument","force","base","212",,
"forceAndCall","Call a function with Some Arguments Forced","forceAndCall","base","213",,
"Foreign","Foreign Function Interface","Foreign","base","214",,
"formals","Access to and Manipulation of the Formal Arguments","formals","base","216",,
"format","Encode in a Common Format","format","base","1969",,
"format.Date","Date Conversion Functions to and from Character","as.Date","base","30",,
"format.difftime","Time Intervals / Differences","difftime","base","146",,
"format.hexmode","Integer Numbers Displayed in Hexadecimal","hexmode","base","257",,
"format.info","format(.) Information","format.info","base","220",,
"format.libraryIQR","Loading/Attaching and Listing of Packages","library","base","304",,
"format.numeric_version","Numeric Versions","numeric_version","base","381",,
"format.octmode","Integer Numbers Displayed in Octal","octmode","base","382",,
"format.packageInfo","Loading/Attaching and Listing of Packages","library","base","304",,
"format.POSIXct","Date-time Conversion Functions to and from Character","strptime","base","547",,
"format.pval","Format P Values","format.pval","base","222",,
"format.summaryDefault","Object Summaries","summary","base","566",,
"formatC","Formatting Using C-style Formats","formatc","base","595",,
"formatDL","Format Description Lists","formatDL","base","227",,
"forwardsolve","Solve an Upper or Lower Triangular System","backsolve","base","48",,
"function","Function Definition","function","base","228",,
"fuzzy matching","Approximate String Matching (Fuzzy Matching)","agrep","base","10",,
"gamma","Special Functions of Mathematics","Special","base","524",,
"gc","Garbage Collection","gc","base","232",,
"gc.time","Report Time Spent in Garbage Collection","gc.time","base","233",,
"gcinfo","Garbage Collection","gc","base","232",,
"gctorture","Torture Garbage Collector","gctorture","base","234",,
"gctorture2","Torture Garbage Collector","gctorture","base","234",,
"get","Return the Value of a Named Object","get","base","235",,
"get0","Is an Object Defined?","exists","base","179",,
"getAllConnections","Display Connections","showConnections","base","508",,
"getConnection","Display Connections","showConnections","base","508",,
"getDLLRegisteredRoutines","Reflectance Information for C/Fortran routines in a DLL","getDLLRegisteredRoutines","base","236",,
"getElement","Extract or Replace Parts of an Object","Extract","base","183",,
"geterrmessage","Stop Function Execution","stop","base","543",,
"getHook","Functions to Get and Set Hooks for Load, Attach, Detach and Unload","userhooks","base","637",,
"getLoadedDLLs","Get DLLs Loaded in Current Session","getLoadedDLLs","base","238",,
"getNativeSymbolInfo","Obtain a Description of one or more Native (C/Fortran) Symbols","getNativeSymbolInfo","base","239",,
"getOption","Options Settings","options","base","386",,
"getRversion","Numeric Versions","numeric_version","base","381",,
"getSrcLines","References to Source Files and Code","srcfile","base","535",,
"getTaskCallbackNames","Query the Names of the Current Internal Top-Level Task Callbacks","taskCallbackNames","base","605",,
"gettext","Translate Text Messages","gettext","base","241",,
"gettextf","Use C-style String Formatting Commands","sprintf","base","529",,
"getwd","Get or Set Working Directory","getwd","base","244",,
"gl","Generate Factor Levels","gl","base","245",,
"globalCallingHandlers","Condition Handling and Recovery","conditions","base","94",,
"globalenv","Environment Access","environment","base","172",,
"gregexec","Pattern Matching and Replacement","grep","base","245",,
"gregexpr","Pattern Matching and Replacement","grep","base","245",,
"grep","Pattern Matching and Replacement","grep","base","245",,
"grepl","Pattern Matching and Replacement","grep","base","245",,
"grepRaw","Pattern Matching for Raw Vectors","grepRaw","base","251",,
"group generic","S3 Group Generic Functions","groupGeneric","base","253",,
"groupGeneric","S3 Group Generic Functions","groupGeneric","base","253",,
"grouping","Grouping Permutation","grouping","base","255",,
"GSC","Environment Variables","EnvVar","base","175",,
"gsub","Pattern Matching and Replacement","grep","base","245",,
"gzcon","(De)compress I/O Through Connections","gzcon","base","256",,
"gzfile","Functions to Manipulate Connections (Files, URLs, ...)","connections","base","99",,
"hexmode","Integer Numbers Displayed in Hexadecimal","hexmode","base","257",,
"HOME","Environment Variables","EnvVar","base","175",,
"I","Inhibit Interpretation/Conversion of Objects","AsIs","base","38",,
"iconv","Convert Character Vector between Encodings","iconv","base","260",,
"iconvlist","Convert Character Vector between Encodings","iconv","base","260",,
"icuGetCollate","Setup Collation by ICU","icuSetCollate","base","263",,
"icuSetCollate","Setup Collation by ICU","icuSetCollate","base","263",,
"identical","Test Objects for Exact Equality","identical","base","265",,
"identity","Identity Function","identity","base","268",,
"if","Control Flow","Control","base","110",,
"ifelse","Conditional Element Selection","ifelse","base","268",,
"Im","Complex Numbers and Basic Functionality","complex","base","92",,
"in","Control Flow","Control","base","110",,
"Inf","Finite, Infinite and NaN Numbers","is.finite","base","276",,
"infinite","Finite, Infinite and NaN Numbers","is.finite","base","276",,
"infoRDS","Serialization Interface for Single Objects","readRDS","base","460",,
"inherits","Object Classes","class","base","2555",,
"integer","Integer Vectors","integer","base","270",,
"interaction","Compute Factor Interactions","interaction","base","271",,
"interactive","Is R Running Interactively?","interactive","base","272",,
"internal generic","Internal Generic Functions","InternalMethods","base","273",,
"InternalGenerics","Internal Generic Functions","InternalMethods","base","273",,
"InternalMethods","Internal Generic Functions","InternalMethods","base","273",,
"intersect","Set Operations","sets","base","506",,
"intersection","Set Operations","sets","base","506",,
"intToBits","Convert to or from (Bit/Packed) Raw Vectors","rawConversion","base","450",,
"intToUtf8","Convert Integer Vectors to or from UTF-8-encoded Character Vectors","utf8Conversion","base","639",,
"inverse.rle","Run Length Encoding","rle","base","477",,
"invisible","Change the Print Mode to Invisible","invisible","base","275",,
"invokeRestart","Condition Handling and Recovery","conditions","base","94",,
"invokeRestartInteractively","Condition Handling and Recovery","conditions","base","94",,
"is.array","Multi-way Arrays","array","base","26",,
"is.atomic","Is an Object Atomic or Recursive?","is.recursive","base","280",,
"is.call","Function Calls","call","base","64",,
"is.character","Character Vectors","character","base","75",,
"is.complex","Complex Numbers and Basic Functionality","complex","base","92",,
"is.data.frame","Coerce to a Data Frame","as.data.frame","base","28",,
"is.double","Double-Precision Vectors","double","base","154",,
"is.element","Set Operations","sets","base","506",,
"is.environment","Environment Access","environment","base","172",,
"is.expression","Unevaluated Expressions","expression","base","182",,
"is.factor","Factors","factor","base","196",,
"is.finite","Finite, Infinite and NaN Numbers","is.finite","base","276",,
"is.function","Is an Object of Type (Primitive) Function?","is.function","base","278",,
"is.infinite","Finite, Infinite and NaN Numbers","is.finite","base","276",,
"is.integer","Integer Vectors","integer","base","270",,
"is.language","Is an Object a Language Object?","is.language","base","278",,
"is.list","Lists - Generic and Dotted Pairs","list","base","310",,
"is.loaded","Foreign Function Interface","dynload","base","315",,
"is.logical","Logical Vectors","logical","base","323",,
"is.matrix","Matrices","matrix","base","340",,
"is.na","'Not Available' / Missing Values","NA","base","356",,
"is.na.numeric_version","Numeric Versions","numeric_version","base","381",,
"is.na.POSIXlt","Date-Time Classes","DateTimeClasses","base","126",,
"is.name","Names and Symbols","name","base","358",,
"is.nan","Finite, Infinite and NaN Numbers","is.finite","base","276",,
"is.null","The Null Object","NULL","base","376",,
"is.numeric","Numeric Vectors","numeric","base","378",,
"is.numeric.difftime","Time Intervals / Differences","difftime","base","146",,
"is.numeric_version","Numeric Versions","numeric_version","base","381",,
"is.object","Is an Object 'internally classed'?","is.object","base","279",,
"is.ordered","Factors","factor","base","196",,
"is.package_version","Numeric Versions","numeric_version","base","381",,
"is.pairlist","Lists - Generic and Dotted Pairs","list","base","310",,
"is.primitive","Is an Object of Type (Primitive) Function?","is.function","base","278",,
"is.qr","The QR Decomposition of a Matrix","qr","base","426",,
"is.R","Are we using R, rather than S?","isR","base","3002",,
"is.raw","Raw Vectors","raw","base","447",,
"is.recursive","Is an Object Atomic or Recursive?","is.recursive","base","280",,
"is.single","Is an Object of Single Precision Type?","is.single","base","281",,
"is.symbol","Names and Symbols","name","base","358",,
"is.table","Cross Tabulation and Table Creation","table","base","596",,
"is.unsorted","Test if an Object is Not Sorted","is.unsorted","base","282",,
"is.vector","Vectors - Creation, Coercion, etc","vector","base","643",,
"isa","Object Classes","class","base","2555",,
"isatty","Display Connections","showConnections","base","508",,
"isdebugged","Debug a Function","debug","base","132",,
"isFALSE","Logical Operators","Logic","base","321",,
"isIncomplete","Functions to Manipulate Connections (Files, URLs, ...)","connections","base","99",,
"isNamespaceLoaded","Loading and Unloading Name Spaces","ns-load","base","373",,
"ISOdate","Date-time Conversion Functions from Numeric Representations","ISOdatetime","base","283",,
"ISOdatetime","Date-time Conversion Functions from Numeric Representations","ISOdatetime","base","283",,
"isOpen","Functions to Manipulate Connections (Files, URLs, ...)","connections","base","99",,
"isRestart","Condition Handling and Recovery","conditions","base","94",,
"isS4","Test for an S4 object","isS4","base","283",,
"isSeekable","Functions to Reposition Connections","seek","base","498",,
"isSymmetric","Test if a Matrix or other Object is Symmetric (Hermitian)","isSymmetric","base","285",,
"isTRUE","Logical Operators","Logic","base","321",,
"jitter","'Jitter' (Add Noise) to Numbers","jitter","base","286",,
"julian","Extract Parts of a POSIXt or Date Object","weekday.POSIXt","base","595",,
"kappa","Compute or Estimate the Condition Number of a Matrix","kappa","base","287",,
"kronecker","Kronecker Products on Arrays","kronecker","base","289",,
"l10n_info","Localization Information","l10n_info","base","290",,
"La.svd","Singular Value Decomposition of a Matrix","svd","base","567",,
"labels","Find Labels from Object","labels","base","291",,
"LANGUAGE","Environment Variables","EnvVar","base","175",,
"language","Is an Object a Language Object?","is.language","base","278",,
