"","func","def","fungen","pkg","pag"
"168","clearPushBack","Push Text Back on to a Connection","pushBack","base","425"
"169","clipboard","Functions to Manipulate Connections (Files, URLs, ...)","connections","base","99"
"170","close","Functions to Manipulate Connections (Files, URLs, ...)","connections","base","99"
"171","close.srcfile","References to Source Files and Code","srcfile","base","535"
"172","close.srcfilealias","References to Source Files and Code","srcfile","base","535"
"173","closeAllConnections","Display Connections","showConnections","base","508"
"174","closure","Function Definition","function","base","228"
"175","code point","Convert Integer Vectors to or from UTF-8-encoded Character Vectors","utf8Conversion","base","639"
"176","col","Column Indexes","col","base","85"
"177","collation","Relational Operators","Comparison","base","90"
"178","colMeans","Form Row and Column Sums and Means","colSums","base","2312"
"179","colnames","Row and Column Names","colnames","base","358"
"180","colon","Colon Operator","Colon","base","86"
"181","colSums","Form Row and Column Sums and Means","colSums","base","2312"
"182","commandArgs","Extract Command Line Arguments","commandArgs","base","89"
"183","comment","Query or Set a '""comment""' Attribute","comment","base","89"
"184","Comparison","Relational Operators","Comparison","base","90"
"185","Complex","S3 Group Generic Functions","groupGeneric","base","253"
"186","complex","Complex Numbers and Basic Functionality","complex","base","92"
"187","computeRestarts","Condition Handling and Recovery","conditions","base","94"
"188","condition","Condition Handling and Recovery","conditions","base","94"
"189","conditionCall","Condition Handling and Recovery","conditions","base","94"
"190","conditionCall.condition","Condition Handling and Recovery","conditions","base","94"
"191","conditionMessage","Condition Handling and Recovery","conditions","base","94"
"192","conditionMessage.condition","Condition Handling and Recovery","conditions","base","94"
"193","conditions","Condition Handling and Recovery","conditions","base","94"
"194","conflictRules","Loading/Attaching and Listing of Packages","library","base","304"
"195","conflicts","Search for Masked Objects on the Search Path","conflicts","base","98"
"196","Conj","Complex Numbers and Basic Functionality","complex","base","92"
"197","connection","Functions to Manipulate Connections (Files, URLs, ...)","connections","base","99"
"198","connections","Functions to Manipulate Connections (Files, URLs, ...)","connections","base","99"
"199","Constants","Built-in Constants","Constants","base","109"
"200","contributors","R Project Contributors","contributors","base","110"
"201","Control","Control Flow","Control","base","110"
"202","copyright","Copyrights of Files Used to Build R","copyright","base","112"
"203","copyrights","Copyrights of Files Used to Build R","copyright","base","112"
"204","cos","Trigonometric Functions","Trig","base","625"
"205","cosh","Hyperbolic Functions","Hyperbolic","base","259"
"206","cospi","Trigonometric Functions","Trig","base","625"
"207","crossprod","Matrix Crossproduct","crossprod","base","112"
"208","CStackOverflowError","Stack Overflow Errors","StackOverflows","base","538"
"209","Cstack_info","Report Information on C Stack Size and Usage","Cstack_info","base","113"
"210","cummax","Cumulative Sums, Products, and Extremes","cumsum","base","114"
"211","cummin","Cumulative Sums, Products, and Extremes","cumsum","base","114"
"212","cumprod","Cumulative Sums, Products, and Extremes","cumsum","base","114"
"213","cumsum","Cumulative Sums, Products, and Extremes","cumsum","base","114"
"214","curlGetHeaders","Retrieve Headers from URLs","curlGetHeaders","base","115"
"215","cut","Convert Numeric to Factor","cut","base","116"
"216","cut.POSIXt","Convert a Date or Date-Time Object to a Factor","cut.POSIXt","base","118"
"217","data.class","Object Classes","data.class","base","120"
"218","data.frame","Data Frames","data.frame","base","121"
"219","data.matrix","Convert a Data Frame to a Numeric Matrix","data.matrix","base","123"
"220","Date","Date Class","Dates","base","125"
"221","date","System Date and Time","date","base","124"
"222","date-time","Date-Time Classes","DateTimeClasses","base","126"
"223","Dates","Date Class","Dates","base","125"
"224","DateTimeClasses","Date-Time Classes","DateTimeClasses","base","126"
"225","debug","Debug a Function","debug","base","132"
"226","debuggingState","Debug a Function","debug","base","132"
"227","debugonce","Debug a Function","debug","base","132"
"228","Defunct","Marking Objects as Defunct","Defunct","base","134"
"229","defunct","Marking Objects as Defunct","Defunct","base","134"
"230","delayedAssign","Delay Evaluation","delayedAssign","base","134"
"231","deparse","Expression Deparsing","deparse","base","136"
"232","deparse1","Expression Deparsing","deparse","base","136"
"233","Deprecated","Marking Objects as Deprecated","Deprecated","base","140"
"234","deprecated","Marking Objects as Deprecated","Deprecated","base","140"
"235","det","Calculate the Determinant of a Matrix","det","base","141"
"236","detach","Detach Objects from the Search Path","detach","base","142"
"237","determinant","Calculate the Determinant of a Matrix","det","base","141"
"238","dget","Write an Object to a File or Recreate it","dput","base","156"
"239","diag","Matrix Diagonals","diag","base","144"
"240","diff","Lagged Differences","diff","base","145"
"241","diff.difftime","Time Intervals / Differences","difftime","base","146"
"242","difftime","Time Intervals / Differences","difftime","base","146"
"243","digamma","Special Functions of Mathematics","Special","base","524"
"244","dim","Dimensions of an Object","dim","base","148"
"245","dimnames","Dimnames of an Object","dimnames","base","149"
"246","dir","List the Files in a Directory/Folder","list.files","base","312"
"247","dir.create","Manipulation of Directories and File Permissions","files2","base","208"
"248","dirname","Manipulate File Paths","basename","base","49"
"249","DISPLAY","Environment Variables","EnvVar","base","175"
"250","DLLInfo","Get DLLs Loaded in Current Session","getLoadedDLLs","base","238"
"251","DLLInfoList","Get DLLs Loaded in Current Session","getLoadedDLLs","base","238"
"252","DLLpath","Foreign Function Interface","dynload","base","315"
"253","do.call","Execute a Function Call","do.call","base","151"
"254","dontCheck","Identity Function to Suppress Checking","dontCheck","base","153"
"255","dots","..., '..1', etc used in Functions","dots","base","153"
"256","double","Double-Precision Vectors","double","base","154"
"257","dput","Write an Object to a File or Recreate it","dput","base","156"
"258","dQuote","Quote Text","sQuote","base","533"
"259","drop","Drop Redundant Extent Information","drop","base","158"
"260","droplevels","Drop Unused Levels from Factors","droplevels","base","159"
"261","dump","Text Representations of R Objects","dump","base","160"
"262","duplicated","Determine Duplicate Elements","duplicated","base","161"
"263","duplicated.numeric_version","Numeric Versions","numeric_version","base","381"
"264","duplicated.POSIXlt","Date-Time Classes","DateTimeClasses","base","126"
"265","duplicated.warnings","Print Warning Messages","warnings","base","648"
"266","dyn.load","Foreign Function Interface","dynload","base","315"
"267","dyn.unload","Foreign Function Interface","dynload","base","315"
"268","dynGet","Return the Value of a Named Object","get","base","235"
"269","eapply","Apply a Function Over Values in an Environment","eapply","base","166"
"270","EDITOR","Environment Variables","EnvVar","base","175"
"271","eigen","Spectral Decomposition of a Matrix","eigen","base","167"
"272","else","Control Flow","Control","base","110"
"273","emptyenv","Environment Access","environment","base","172"
"274","enc2native","Read or Set the Declared Encodings for a Character Vector","Encoding","base","170"
"275","enc2utf8","Read or Set the Declared Encodings for a Character Vector","Encoding","base","170"
"276","enclosure","Environment Access","environment","base","172"
"277","encodeString","Encode Character Vector as for Printing","encodeString","base","169"
"278","Encoding","Read or Set the Declared Encodings for a Character Vector","Encoding","base","170"
"279","endsWith","Does String Start or End With Another String?","startsWith","base","539"
"280","enquote","Substituting and Quoting Expressions","substitute","base","561"
"281","env.profile","Environment Access","environment","base","172"
"282","environment","Environment Access","environment","base","172"
"283","environment variables","Environment Variables","EnvVar","base","175"
"284","environmentIsLocked","Binding and Environment Locking, Active Bindings","bindenv","base","53"
"285","environmentName","Environment Access","environment","base","172"
"286","errorCondition","Condition Handling and Recovery","conditions","base","94"
"287","eval","Evaluate an (Unevaluated) Expression","eval","base","177"
"288","eval.parent","Evaluate an (Unevaluated) Expression","eval","base","177"
"289","evalq","Evaluate an (Unevaluated) Expression","eval","base","177"
"290","exists","Is an Object Defined?","exists","base","179"
"291","exp","Logarithms and Exponentials","Log","base",""
"292","expand.grid","Create a Data Frame from All Combinations of Factor Variables","expand.grid","base","181"
"293","expm1","Logarithms and Exponentials","Log","base",""
"294","expression","Unevaluated Expressions","expression","base","182"
"295","expressionStackOverflowError","Stack Overflow Errors","StackOverflows","base","538"
"296","Extract","Extract or Replace Parts of an Object","Extract","base","183"
"297","extSoftVersion","Report Versions of Third-Party Software","extSoftVersion","base","195"
"298","F","Logical Vectors","logical","base","323"
"299","factor","Factors","factor","base","196"
"300","factorial","Special Functions of Mathematics","Special","base","524"
"301","FALSE","Logical Vectors","logical","base","323"
"302","fifo","Functions to Manipulate Connections (Files, URLs, ...)","connections","base","99"
"303","file","Functions to Manipulate Connections (Files, URLs, ...)","connections","base","99"
"304","file path encoding","File Paths not in the Native Encoding","UTF8filepaths","base","641"
"305","file.access","Ascertain File Accessibility","file.access","base","200"
"306","file.append","File Manipulation","files","base","205"
"307","file.choose","Choose a File Interactively","file.choose","base","201"
"308","file.copy","File Manipulation","files","base","205"
"309","file.create","File Manipulation","files","base","205"
"310","file.exists","File Manipulation","files","base","205"
"311","file.info","Extract File Information","file.info","base","201"
"312","file.link","File Manipulation","files","base","205"
"313","file.mode","Extract File Information","file.info","base","201"
"314","file.mtime","Extract File Information","file.info","base","201"
"315","file.path","Construct Path to File","file.path","base","203"
"316","file.remove","File Manipulation","files","base","205"
"317","file.rename","File Manipulation","files","base","205"
"318","file.show","Display One or More Text Files","file.show","base","204"
"319","file.size","Extract File Information","file.info","base","201"
"320","file.symlink","File Manipulation","files","base","205"
"321","files","File Manipulation","files","base","205"
"322","Filter","Common Higher-Order Functions in Functional Programming Languages","funprog","base","229"
"323","finalizer","Finalization of Objects","reg.finalizer","base","464"
"324","Find","Common Higher-Order Functions in Functional Programming Languages","funprog","base","229"
"325","find.package","Find Packages","find.package","base","209"
"326","findInterval","Find Interval Numbers or Indices","findInterval","base","211"
"327","findRestart","Condition Handling and Recovery","conditions","base","94"
"328","finite","Finite, Infinite and NaN Numbers","is.finite","base","276"
"329","floor","Rounding of Numbers","Round","base","478"
"330","flush","Functions to Manipulate Connections (Files, URLs, ...)","connections","base","99"
"331","for","Control Flow","Control","base","110"
"332","force","Force Evaluation of an Argument","force","base","212"
"333","forceAndCall","Call a function with Some Arguments Forced","forceAndCall","base","213"
"334","Foreign","Foreign Function Interface","Foreign","base","214"
"335","formals","Access to and Manipulation of the Formal Arguments","formals","base","216"
"336","format","Encode in a Common Format","format","base","1969"
"337","format.Date","Date Conversion Functions to and from Character","as.Date","base","30"
"338","format.difftime","Time Intervals / Differences","difftime","base","146"
"339","format.hexmode","Integer Numbers Displayed in Hexadecimal","hexmode","base","257"
"340","format.info","format(.) Information","format.info","base","220"
"341","format.libraryIQR","Loading/Attaching and Listing of Packages","library","base","304"
"342","format.numeric_version","Numeric Versions","numeric_version","base","381"
"343","format.octmode","Integer Numbers Displayed in Octal","octmode","base","382"
"344","format.packageInfo","Loading/Attaching and Listing of Packages","library","base","304"
"345","format.POSIXct","Date-time Conversion Functions to and from Character","strptime","base","547"
"346","format.pval","Format P Values","format.pval","base","222"
"347","format.summaryDefault","Object Summaries","summary","base","566"
"348","formatC","Formatting Using C-style Formats","formatc","base","595"
"349","formatDL","Format Description Lists","formatDL","base","227"
"350","forwardsolve","Solve an Upper or Lower Triangular System","backsolve","base","48"
"351","function","Function Definition","function","base","228"
"352","fuzzy matching","Approximate String Matching (Fuzzy Matching)","agrep","base","10"
"353","gamma","Special Functions of Mathematics","Special","base","524"
"354","gc","Garbage Collection","gc","base","232"
"355","gc.time","Report Time Spent in Garbage Collection","gc.time","base","233"
"356","gcinfo","Garbage Collection","gc","base","232"
"357","gctorture","Torture Garbage Collector","gctorture","base","234"
"358","gctorture2","Torture Garbage Collector","gctorture","base","234"
"359","get","Return the Value of a Named Object","get","base","235"
"360","get0","Is an Object Defined?","exists","base","179"
"361","getAllConnections","Display Connections","showConnections","base","508"
"362","getConnection","Display Connections","showConnections","base","508"
"363","getDLLRegisteredRoutines","Reflectance Information for C/Fortran routines in a DLL","getDLLRegisteredRoutines","base","236"
"364","getElement","Extract or Replace Parts of an Object","Extract","base","183"
"365","geterrmessage","Stop Function Execution","stop","base","543"
"366","getHook","Functions to Get and Set Hooks for Load, Attach, Detach and Unload","userhooks","base","637"
"367","getLoadedDLLs","Get DLLs Loaded in Current Session","getLoadedDLLs","base","238"
"368","getNativeSymbolInfo","Obtain a Description of one or more Native (C/Fortran) Symbols","getNativeSymbolInfo","base","239"
"369","getOption","Options Settings","options","base","386"
"370","getRversion","Numeric Versions","numeric_version","base","381"
"371","getSrcLines","References to Source Files and Code","srcfile","base","535"
"372","getTaskCallbackNames","Query the Names of the Current Internal Top-Level Task Callbacks","taskCallbackNames","base","605"
"373","gettext","Translate Text Messages","gettext","base","241"
"374","gettextf","Use C-style String Formatting Commands","sprintf","base","529"
"375","getwd","Get or Set Working Directory","getwd","base","244"
"376","gl","Generate Factor Levels","gl","base","245"
"377","globalCallingHandlers","Condition Handling and Recovery","conditions","base","94"
"378","globalenv","Environment Access","environment","base","172"
"379","gregexec","Pattern Matching and Replacement","grep","base","245"
"380","gregexpr","Pattern Matching and Replacement","grep","base","245"
"381","grep","Pattern Matching and Replacement","grep","base","245"
"382","grepl","Pattern Matching and Replacement","grep","base","245"
"383","grepRaw","Pattern Matching for Raw Vectors","grepRaw","base","251"
"384","group generic","S3 Group Generic Functions","groupGeneric","base","253"
"385","groupGeneric","S3 Group Generic Functions","groupGeneric","base","253"
"386","grouping","Grouping Permutation","grouping","base","255"
"387","GSC","Environment Variables","EnvVar","base","175"
"388","gsub","Pattern Matching and Replacement","grep","base","245"
"389","gzcon","(De)compress I/O Through Connections","gzcon","base","256"
"390","gzfile","Functions to Manipulate Connections (Files, URLs, ...)","connections","base","99"
"391","hexmode","Integer Numbers Displayed in Hexadecimal","hexmode","base","257"
"392","HOME","Environment Variables","EnvVar","base","175"
"393","I","Inhibit Interpretation/Conversion of Objects","AsIs","base","38"
"394","iconv","Convert Character Vector between Encodings","iconv","base","260"
"395","iconvlist","Convert Character Vector between Encodings","iconv","base","260"
"396","icuGetCollate","Setup Collation by ICU","icuSetCollate","base","263"
"397","icuSetCollate","Setup Collation by ICU","icuSetCollate","base","263"
"398","identical","Test Objects for Exact Equality","identical","base","265"
"399","identity","Identity Function","identity","base","268"
"400","if","Control Flow","Control","base","110"
"401","ifelse","Conditional Element Selection","ifelse","base","268"
"402","Im","Complex Numbers and Basic Functionality","complex","base","92"
"403","in","Control Flow","Control","base","110"
"404","Inf","Finite, Infinite and NaN Numbers","is.finite","base","276"
"405","infinite","Finite, Infinite and NaN Numbers","is.finite","base","276"
"406","infoRDS","Serialization Interface for Single Objects","readRDS","base","460"
"407","inherits","Object Classes","class","base","2555"
"408","integer","Integer Vectors","integer","base","270"
"409","interaction","Compute Factor Interactions","interaction","base","271"
"410","interactive","Is R Running Interactively?","interactive","base","272"
"411","internal generic","Internal Generic Functions","InternalMethods","base","273"
"412","InternalGenerics","Internal Generic Functions","InternalMethods","base","273"
"413","InternalMethods","Internal Generic Functions","InternalMethods","base","273"
"414","intersect","Set Operations","sets","base","506"
"415","intersection","Set Operations","sets","base","506"
"416","intToBits","Convert to or from (Bit/Packed) Raw Vectors","rawConversion","base","450"
"417","intToUtf8","Convert Integer Vectors to or from UTF-8-encoded Character Vectors","utf8Conversion","base","639"
"418","inverse.rle","Run Length Encoding","rle","base","477"
"419","invisible","Change the Print Mode to Invisible","invisible","base","275"
"420","invokeRestart","Condition Handling and Recovery","conditions","base","94"
"421","invokeRestartInteractively","Condition Handling and Recovery","conditions","base","94"
"422","is.array","Multi-way Arrays","array","base","26"
"423","is.atomic","Is an Object Atomic or Recursive?","is.recursive","base","280"
"424","is.call","Function Calls","call","base","64"
"425","is.character","Character Vectors","character","base","75"
"426","is.complex","Complex Numbers and Basic Functionality","complex","base","92"
"427","is.data.frame","Coerce to a Data Frame","as.data.frame","base","28"
"428","is.double","Double-Precision Vectors","double","base","154"
"429","is.element","Set Operations","sets","base","506"
"430","is.environment","Environment Access","environment","base","172"
"431","is.expression","Unevaluated Expressions","expression","base","182"
"432","is.factor","Factors","factor","base","196"
"433","is.finite","Finite, Infinite and NaN Numbers","is.finite","base","276"
"434","is.function","Is an Object of Type (Primitive) Function?","is.function","base","278"
"435","is.infinite","Finite, Infinite and NaN Numbers","is.finite","base","276"
"436","is.integer","Integer Vectors","integer","base","270"
"437","is.language","Is an Object a Language Object?","is.language","base","278"
"438","is.list","Lists - Generic and Dotted Pairs","list","base","310"
"439","is.loaded","Foreign Function Interface","dynload","base","315"
"440","is.logical","Logical Vectors","logical","base","323"
"441","is.matrix","Matrices","matrix","base","340"
"442","is.na","'Not Available' / Missing Values","NA","base","356"
"443","is.na.numeric_version","Numeric Versions","numeric_version","base","381"
"444","is.na.POSIXlt","Date-Time Classes","DateTimeClasses","base","126"
"445","is.name","Names and Symbols","name","base","358"
"446","is.nan","Finite, Infinite and NaN Numbers","is.finite","base","276"
"447","is.null","The Null Object","NULL","base","376"
"448","is.numeric","Numeric Vectors","numeric","base","378"
"449","is.numeric.difftime","Time Intervals / Differences","difftime","base","146"
"450","is.numeric_version","Numeric Versions","numeric_version","base","381"
"451","is.object","Is an Object 'internally classed'?","is.object","base","279"
"452","is.ordered","Factors","factor","base","196"
"453","is.package_version","Numeric Versions","numeric_version","base","381"
"454","is.pairlist","Lists - Generic and Dotted Pairs","list","base","310"
"455","is.primitive","Is an Object of Type (Primitive) Function?","is.function","base","278"
"456","is.qr","The QR Decomposition of a Matrix","qr","base","426"
"457","is.R","Are we using R, rather than S?","isR","base","3002"
"458","is.raw","Raw Vectors","raw","base","447"
"459","is.recursive","Is an Object Atomic or Recursive?","is.recursive","base","280"
"460","is.single","Is an Object of Single Precision Type?","is.single","base","281"
"461","is.symbol","Names and Symbols","name","base","358"
"462","is.table","Cross Tabulation and Table Creation","table","base","596"
"463","is.unsorted","Test if an Object is Not Sorted","is.unsorted","base","282"
"464","is.vector","Vectors - Creation, Coercion, etc","vector","base","643"
"465","isa","Object Classes","class","base","2555"
"466","isatty","Display Connections","showConnections","base","508"
"467","isdebugged","Debug a Function","debug","base","132"
"468","isFALSE","Logical Operators","Logic","base","321"
"469","isIncomplete","Functions to Manipulate Connections (Files, URLs, ...)","connections","base","99"
"470","isNamespaceLoaded","Loading and Unloading Name Spaces","ns-load","base","373"
"471","ISOdate","Date-time Conversion Functions from Numeric Representations","ISOdatetime","base","283"
"472","ISOdatetime","Date-time Conversion Functions from Numeric Representations","ISOdatetime","base","283"
