"","func","def","fungen","pkg","pag"
"49","as.data.frame.POSIXct","Date-Time Classes","DateTimeClasses","base","126"
"50","as.data.frame.table","Cross Tabulation and Table Creation","table","base","596"
"51","as.Date","Date Conversion Functions to and from Character","as.Date","base","30"
"52","as.difftime","Time Intervals / Differences","difftime","base","146"
"53","as.double","Double-Precision Vectors","double","base","154"
"54","as.double.difftime","Time Intervals / Differences","difftime","base","146"
"55","as.double.POSIXlt","Date-time Conversion Functions","as.POSIXlt","base","1120"
"56","as.environment","Coerce to an Environment Object","as.environment","base","33"
"57","as.expression","Unevaluated Expressions","expression","base","182"
"58","as.factor","Factors","factor","base","196"
"59","as.function","Convert Object to Function","as.function","base","34"
"60","as.hexmode","Integer Numbers Displayed in Hexadecimal","hexmode","base","257"
"61","as.integer","Integer Vectors","integer","base","270"
"62","as.list","Lists - Generic and Dotted Pairs","list","base","310"
"63","as.list.Date","Date Class","Dates","base","125"
"64","as.list.difftime","Time Intervals / Differences","difftime","base","146"
"65","as.list.numeric_version","Numeric Versions","numeric_version","base","381"
"66","as.list.POSIXct","Date-Time Classes","DateTimeClasses","base","126"
"67","as.logical","Logical Vectors","logical","base","323"
"68","as.matrix","Matrices","matrix","base","340"
"69","as.matrix.noquote","Class for 'no quote' Printing of Character Strings","noquote","base","365"
"70","as.matrix.POSIXlt","Date-Time Classes","DateTimeClasses","base","126"
"71","as.name","Names and Symbols","name","base","358"
"72","as.null","The Null Object","NULL","base","376"
"73","as.numeric","Numeric Vectors","numeric","base","378"
"74","as.numeric_version","Numeric Versions","numeric_version","base","381"
"75","as.octmode","Integer Numbers Displayed in Octal","octmode","base","382"
"76","as.ordered","Factors","factor","base","196"
"77","as.package_version","Numeric Versions","numeric_version","base","381"
"78","as.pairlist","Lists - Generic and Dotted Pairs","list","base","310"
"79","as.POSIXct","Date-time Conversion Functions","as.POSIXlt","base","1120"
"80","as.POSIXlt","Date-time Conversion Functions","as.POSIXlt","base","1120"
"81","as.qr","The QR Decomposition of a Matrix","qr","base","426"
"82","as.raw","Raw Vectors","raw","base","447"
"83","as.single","Double-Precision Vectors","double","base","154"
"84","as.symbol","Names and Symbols","name","base","358"
"85","as.table","Cross Tabulation and Table Creation","table","base","596"
"86","as.vector","Vectors - Creation, Coercion, etc","vector","base","643"
"87","asin","Trigonometric Functions","Trig","base","625"
"88","asinh","Hyperbolic Functions","Hyperbolic","base","259"
"89","AsIs","Inhibit Interpretation/Conversion of Objects","AsIs","base","38"
"90","asplit","Split Array/Matrix By Its Margins","asplit","base","39"
"91","asS3","Test for an S4 object","isS4","base","283"
"92","asS4","Test for an S4 object","isS4","base","283"
"93","assign","Assign a Value to a Name","assign","base","40"
"94","assignOps","Assignment Operators","assignOps","base","41"
"95","atan","Trigonometric Functions","Trig","base","625"
"96","atan2","Trigonometric Functions","Trig","base","625"
"97","atanh","Hyperbolic Functions","Hyperbolic","base","259"
"98","atomic","Vectors - Creation, Coercion, etc","vector","base","643"
"99","attach","Attach Set of R Objects to Search Path","attach","base","42"
"100","attachNamespace","Loading and Unloading Name Spaces","ns-load","base","373"
"101","attr","Object Attributes","attr","base","44"
"102","attr.all.equal","Test if Two Objects are (Nearly) Equal","all.equal","base","14"
"103","attributes","Object Attribute Lists","attributes","base","45"
"104","autoload","On-demand Loading of Packages","autoload","base","47"
"105","autoloader","On-demand Loading of Packages","autoload","base","47"
"106","Autoloads","On-demand Loading of Packages","autoload","base","47"
"107","backquote","Quotes","Quotes","base","432"
"108","backsolve","Solve an Upper or Lower Triangular System","backsolve","base","48"
"109","backtick","Quotes","Quotes","base","432"
"110","base","The R Base Package","base-package","base","3"
"111","baseenv","Environment Access","environment","base","172"
"112","basename","Manipulate File Paths","basename","base","49"
"113","Bessel","Bessel Functions","Bessel","base","50"
"114","bessel","Bessel Functions","Bessel","base","50"
"115","besselI","Bessel Functions","Bessel","base","50"
"116","besselJ","Bessel Functions","Bessel","base","50"
"117","besselK","Bessel Functions","Bessel","base","50"
"118","besselY","Bessel Functions","Bessel","base","50"
"119","beta","Special Functions of Mathematics","Special","base","524"
"120","bindenv","Binding and Environment Locking, Active Bindings","bindenv","base","53"
"121","bindingIsActive","Binding and Environment Locking, Active Bindings","bindenv","base","53"
"122","bindingIsLocked","Binding and Environment Locking, Active Bindings","bindenv","base","53"
"123","bindtextdomain","Translate Text Messages","gettext","base","241"
"124","bitwAnd","Bitwise Logical Operations","bitwise","base","55"
"125","bitwNot","Bitwise Logical Operations","bitwise","base","55"
"126","bitwOr","Bitwise Logical Operations","bitwise","base","55"
"127","bitwShiftL","Bitwise Logical Operations","bitwise","base","55"
"128","bitwShiftR","Bitwise Logical Operations","bitwise","base","55"
"129","bitwXor","Bitwise Logical Operations","bitwise","base","55"
"130","body","Access to and Manipulation of the Body of a Function","body","base","56"
"131","bquote","Partial substitution in expressions","bquote","base","57"
"132","break","Control Flow","Control","base","110"
"133","browser","Environment Browser","browser","base","58"
"134","browserCondition","Functions to Retrieve Values Supplied by Calls to the Browser","browserText","base","59"
"135","browserSetDebug","Functions to Retrieve Values Supplied by Calls to the Browser","browserText","base","59"
"136","browserText","Functions to Retrieve Values Supplied by Calls to the Browser","browserText","base","59"
"137","builtins","Returns the Names of All Built-in Objects","builtins","base","60"
"138","by","Apply a Function to a Data Frame Split by Factors","by","base","61"
"139","bzfile","Functions to Manipulate Connections (Files, URLs, ...)","connections","base","99"
"140","c","Combine Values into a Vector or List","c","base","62"
"141","c.Date","Date Class","Dates","base","125"
"142","c.difftime","Time Intervals / Differences","difftime","base","146"
"143","c.factor","Factors","factor","base","196"
"144","c.noquote","Class for 'no quote' Printing of Character Strings","noquote","base","365"
"145","c.numeric_version","Numeric Versions","numeric_version","base","381"
"146","c.POSIXct","Date-Time Classes","DateTimeClasses","base","126"
"147","c.warnings","Print Warning Messages","warnings","base","648"
"148","call","Function Calls","call","base","64"
"149","callCC","Call With Current Continuation","callCC","base","65"
"150","capabilities","Report Capabilities of this Build of R","capabilities","base","67"
"151","casefold","Character Translation and Casefolding","chartr","base","77"
"152","cat","Concatenate and Print","cat","base","69"
"153","cbind","Combine R Objects by Rows or Columns","cbind","base","71"
"154","cbind.data.frame","Combine R Objects by Rows or Columns","cbind","base","71"
"155","ceiling","Rounding of Numbers","Round","base","478"
"156","char.expand","Expand a String with Respect to a Target Table","char.expand","base","74"
"157","character","Character Vectors","character","base","75"
"158","charmatch","Partial String Matching","charmatch","base","76"
"159","charToRaw","Convert to or from (Bit/Packed) Raw Vectors","rawConversion","base","450"
"160","chartr","Character Translation and Casefolding","chartr","base","77"
"161","check_tzones","Date-Time Classes","DateTimeClasses","base","126"
"162","chkDots","Warn About Extraneous Arguments in the ""..."" of Its Caller","chkDots","base","79"
"163","chol","The Cholesky Decomposition","chol","base","2306"
"164","chol2inv","Inverse from Cholesky (or QR) Decomposition","chol2inv","base","82"
"165","choose","Special Functions of Mathematics","Special","base","524"
"166","class","Object Classes","class","base","2555"
"167","clearPushBack","Push Text Back on to a Connection","pushBack","base","425"
"168","clipboard","Functions to Manipulate Connections (Files, URLs, ...)","connections","base","99"
"169","close","Functions to Manipulate Connections (Files, URLs, ...)","connections","base","99"
"170","close.srcfile","References to Source Files and Code","srcfile","base","535"
"171","close.srcfilealias","References to Source Files and Code","srcfile","base","535"
"172","closeAllConnections","Display Connections","showConnections","base","508"
"173","closure","Function Definition","function","base","228"
"174","code point","Convert Integer Vectors to or from UTF-8-encoded Character Vectors","utf8Conversion","base","639"
"175","col","Column Indexes","col","base","85"
"176","collation","Relational Operators","Comparison","base","90"
"177","colMeans","Form Row and Column Sums and Means","colSums","base","2312"
"178","colnames","Row and Column Names","colnames","base","358"
"179","colon","Colon Operator","Colon","base","86"
"180","colSums","Form Row and Column Sums and Means","colSums","base","2312"
"181","commandArgs","Extract Command Line Arguments","commandArgs","base","89"
"182","comment","Query or Set a '""comment""' Attribute","comment","base","89"
"183","Comparison","Relational Operators","Comparison","base","90"
"184","Complex","S3 Group Generic Functions","groupGeneric","base","253"
"185","complex","Complex Numbers and Basic Functionality","complex","base","92"
"186","computeRestarts","Condition Handling and Recovery","conditions","base","94"
"187","condition","Condition Handling and Recovery","conditions","base","94"
"188","conditionCall","Condition Handling and Recovery","conditions","base","94"
"189","conditionCall.condition","Condition Handling and Recovery","conditions","base","94"
"190","conditionMessage","Condition Handling and Recovery","conditions","base","94"
"191","conditionMessage.condition","Condition Handling and Recovery","conditions","base","94"
"192","conditions","Condition Handling and Recovery","conditions","base","94"
"193","conflictRules","Loading/Attaching and Listing of Packages","library","base","304"
"194","conflicts","Search for Masked Objects on the Search Path","conflicts","base","98"
"195","Conj","Complex Numbers and Basic Functionality","complex","base","92"
"196","connection","Functions to Manipulate Connections (Files, URLs, ...)","connections","base","99"
"197","connections","Functions to Manipulate Connections (Files, URLs, ...)","connections","base","99"
"198","Constants","Built-in Constants","Constants","base","109"
"199","contributors","R Project Contributors","contributors","base","110"
"200","Control","Control Flow","Control","base","110"
"201","copyright","Copyrights of Files Used to Build R","copyright","base","112"
"202","copyrights","Copyrights of Files Used to Build R","copyright","base","112"
"203","cos","Trigonometric Functions","Trig","base","625"
"204","cosh","Hyperbolic Functions","Hyperbolic","base","259"
"205","cospi","Trigonometric Functions","Trig","base","625"
"206","crossprod","Matrix Crossproduct","crossprod","base","112"
"207","CStackOverflowError","Stack Overflow Errors","StackOverflows","base","538"
"208","Cstack_info","Report Information on C Stack Size and Usage","Cstack_info","base","113"
"209","cummax","Cumulative Sums, Products, and Extremes","cumsum","base","114"
"210","cummin","Cumulative Sums, Products, and Extremes","cumsum","base","114"
"211","cumprod","Cumulative Sums, Products, and Extremes","cumsum","base","114"
"212","cumsum","Cumulative Sums, Products, and Extremes","cumsum","base","114"
"213","curlGetHeaders","Retrieve Headers from URLs","curlGetHeaders","base","115"
"214","cut","Convert Numeric to Factor","cut","base","116"
"215","cut.POSIXt","Convert a Date or Date-Time Object to a Factor","cut.POSIXt","base","118"
"216","data.class","Object Classes","data.class","base","120"
"217","data.frame","Data Frames","data.frame","base","121"
"218","data.matrix","Convert a Data Frame to a Numeric Matrix","data.matrix","base","123"
"219","Date","Date Class","Dates","base","125"
"220","date","System Date and Time","date","base","124"
"221","date-time","Date-Time Classes","DateTimeClasses","base","126"
"222","Dates","Date Class","Dates","base","125"
"223","DateTimeClasses","Date-Time Classes","DateTimeClasses","base","126"
"224","debug","Debug a Function","debug","base","132"
"225","debuggingState","Debug a Function","debug","base","132"
"226","debugonce","Debug a Function","debug","base","132"
"227","Defunct","Marking Objects as Defunct","Defunct","base","134"
"228","defunct","Marking Objects as Defunct","Defunct","base","134"
"229","delayedAssign","Delay Evaluation","delayedAssign","base","134"
"230","deparse","Expression Deparsing","deparse","base","136"
"231","deparse1","Expression Deparsing","deparse","base","136"
"232","Deprecated","Marking Objects as Deprecated","Deprecated","base","140"
"233","deprecated","Marking Objects as Deprecated","Deprecated","base","140"
"234","det","Calculate the Determinant of a Matrix","det","base","141"
"235","detach","Detach Objects from the Search Path","detach","base","142"
"236","determinant","Calculate the Determinant of a Matrix","det","base","141"
"237","dget","Write an Object to a File or Recreate it","dput","base","156"
"238","diag","Matrix Diagonals","diag","base","144"
"239","diff","Lagged Differences","diff","base","145"
"240","diff.difftime","Time Intervals / Differences","difftime","base","146"
"241","difftime","Time Intervals / Differences","difftime","base","146"
"242","digamma","Special Functions of Mathematics","Special","base","524"
"243","dim","Dimensions of an Object","dim","base","148"
"244","dimnames","Dimnames of an Object","dimnames","base","149"
"245","dir","List the Files in a Directory/Folder","list.files","base","312"
"246","dir.create","Manipulation of Directories and File Permissions","files2","base","208"
"247","dirname","Manipulate File Paths","basename","base","49"
"248","DISPLAY","Environment Variables","EnvVar","base","175"
"249","DLLInfo","Get DLLs Loaded in Current Session","getLoadedDLLs","base","238"
"250","DLLInfoList","Get DLLs Loaded in Current Session","getLoadedDLLs","base","238"
"251","DLLpath","Foreign Function Interface","dynload","base","315"
"252","do.call","Execute a Function Call","do.call","base","151"
"253","dontCheck","Identity Function to Suppress Checking","dontCheck","base","153"
"254","dots","..., '..1', etc used in Functions","dots","base","153"
"255","double","Double-Precision Vectors","double","base","154"
"256","dput","Write an Object to a File or Recreate it","dput","base","156"
"257","dQuote","Quote Text","sQuote","base","533"
"258","drop","Drop Redundant Extent Information","drop","base","158"
"259","droplevels","Drop Unused Levels from Factors","droplevels","base","159"
"260","dump","Text Representations of R Objects","dump","base","160"
"261","duplicated","Determine Duplicate Elements","duplicated","base","161"
"262","duplicated.numeric_version","Numeric Versions","numeric_version","base","381"
"263","duplicated.POSIXlt","Date-Time Classes","DateTimeClasses","base","126"
"264","duplicated.warnings","Print Warning Messages","warnings","base","648"
"265","dyn.load","Foreign Function Interface","dynload","base","315"
"266","dyn.unload","Foreign Function Interface","dynload","base","315"
"267","dynGet","Return the Value of a Named Object","get","base","235"
"268","eapply","Apply a Function Over Values in an Environment","eapply","base","166"
"269","EDITOR","Environment Variables","EnvVar","base","175"
"270","eigen","Spectral Decomposition of a Matrix","eigen","base","167"
"271","else","Control Flow","Control","base","110"
"272","emptyenv","Environment Access","environment","base","172"
"273","enc2native","Read or Set the Declared Encodings for a Character Vector","Encoding","base","170"
"274","enc2utf8","Read or Set the Declared Encodings for a Character Vector","Encoding","base","170"
"275","enclosure","Environment Access","environment","base","172"
"276","encodeString","Encode Character Vector as for Printing","encodeString","base","169"
"277","Encoding","Read or Set the Declared Encodings for a Character Vector","Encoding","base","170"
"278","endsWith","Does String Start or End With Another String?","startsWith","base","539"
"279","enquote","Substituting and Quoting Expressions","substitute","base","561"
"280","env.profile","Environment Access","environment","base","172"
"281","environment","Environment Access","environment","base","172"
"282","environment variables","Environment Variables","EnvVar","base","175"
"283","environmentIsLocked","Binding and Environment Locking, Active Bindings","bindenv","base","53"
"284","environmentName","Environment Access","environment","base","172"
"285","errorCondition","Condition Handling and Recovery","conditions","base","94"
"286","eval","Evaluate an (Unevaluated) Expression","eval","base","177"
"287","eval.parent","Evaluate an (Unevaluated) Expression","eval","base","177"
"288","evalq","Evaluate an (Unevaluated) Expression","eval","base","177"
"289","exists","Is an Object Defined?","exists","base","179"
"290","exp","Logarithms and Exponentials","log","base","320"
"291","expand.grid","Create a Data Frame from All Combinations of Factor Variables","expand.grid","base","181"
"292","expm1","Logarithms and Exponentials","log","base","320"
"293","expression","Unevaluated Expressions","expression","base","182"
"294","expressionStackOverflowError","Stack Overflow Errors","StackOverflows","base","538"
"295","Extract","Extract or Replace Parts of an Object","Extract","base","183"
"296","extSoftVersion","Report Versions of Third-Party Software","extSoftVersion","base","195"
"297","F","Logical Vectors","logical","base","323"
"298","factor","Factors","factor","base","196"
"299","factorial","Special Functions of Mathematics","Special","base","524"
"300","FALSE","Logical Vectors","logical","base","323"
"301","fifo","Functions to Manipulate Connections (Files, URLs, ...)","connections","base","99"
"302","file","Functions to Manipulate Connections (Files, URLs, ...)","connections","base","99"
"303","file path encoding","File Paths not in the Native Encoding","UTF8filepaths","base","641"
"304","file.access","Ascertain File Accessibility","file.access","base","200"
"305","file.append","File Manipulation","files","base","205"
"306","file.choose","Choose a File Interactively","file.choose","base","201"
"307","file.copy","File Manipulation","files","base","205"
"308","file.create","File Manipulation","files","base","205"
"309","file.exists","File Manipulation","files","base","205"
"310","file.info","Extract File Information","file.info","base","201"
"311","file.link","File Manipulation","files","base","205"
"312","file.mode","Extract File Information","file.info","base","201"
"313","file.mtime","Extract File Information","file.info","base","201"
"314","file.path","Construct Path to File","file.path","base","203"
"315","file.remove","File Manipulation","files","base","205"
"316","file.rename","File Manipulation","files","base","205"
"317","file.show","Display One or More Text Files","file.show","base","204"
"318","file.size","Extract File Information","file.info","base","201"
"319","file.symlink","File Manipulation","files","base","205"
"320","files","File Manipulation","files","base","205"
"321","Filter","Common Higher-Order Functions in Functional Programming Languages","funprog","base","229"
"322","finalizer","Finalization of Objects","reg.finalizer","base","464"
"323","Find","Common Higher-Order Functions in Functional Programming Languages","funprog","base","229"
"324","find.package","Find Packages","find.package","base","209"
"325","findInterval","Find Interval Numbers or Indices","findInterval","base","211"
"326","findRestart","Condition Handling and Recovery","conditions","base","94"
"327","finite","Finite, Infinite and NaN Numbers","is.finite","base","276"
"328","floor","Rounding of Numbers","Round","base","478"
"329","flush","Functions to Manipulate Connections (Files, URLs, ...)","connections","base","99"
"330","for","Control Flow","Control","base","110"
"331","force","Force Evaluation of an Argument","force","base","212"
"332","forceAndCall","Call a function with Some Arguments Forced","forceAndCall","base","213"
"333","Foreign","Foreign Function Interface","Foreign","base","214"
"334","formals","Access to and Manipulation of the Formal Arguments","formals","base","216"
"335","format","Encode in a Common Format","format","base","1969"
"336","format.Date","Date Conversion Functions to and from Character","as.Date","base","30"
"337","format.difftime","Time Intervals / Differences","difftime","base","146"
"338","format.hexmode","Integer Numbers Displayed in Hexadecimal","hexmode","base","257"
"339","format.info","format(.) Information","format.info","base","220"
"340","format.libraryIQR","Loading/Attaching and Listing of Packages","library","base","304"
"341","format.numeric_version","Numeric Versions","numeric_version","base","381"
"342","format.octmode","Integer Numbers Displayed in Octal","octmode","base","382"
"343","format.packageInfo","Loading/Attaching and Listing of Packages","library","base","304"
"344","format.POSIXct","Date-time Conversion Functions to and from Character","strptime","base","547"
"345","format.pval","Format P Values","format.pval","base","222"
"346","format.summaryDefault","Object Summaries","summary","base","566"
"347","formatC","Formatting Using C-style Formats","formatc","base","595"
"348","formatDL","Format Description Lists","formatDL","base","227"
"349","forwardsolve","Solve an Upper or Lower Triangular System","backsolve","base","48"
"350","function","Function Definition","function","base","228"
"351","fuzzy matching","Approximate String Matching (Fuzzy Matching)","agrep","base","10"
"352","gamma","Special Functions of Mathematics","Special","base","524"
"353","gc","Garbage Collection","gc","base","232"
"354","gc.time","Report Time Spent in Garbage Collection","gc.time","base","233"
"355","gcinfo","Garbage Collection","gc","base","232"
"356","gctorture","Torture Garbage Collector","gctorture","base","234"
"357","gctorture2","Torture Garbage Collector","gctorture","base","234"
"358","get","Return the Value of a Named Object","get","base","235"
"359","get0","Is an Object Defined?","exists","base","179"
"360","getAllConnections","Display Connections","showConnections","base","508"
"361","getConnection","Display Connections","showConnections","base","508"
"362","getDLLRegisteredRoutines","Reflectance Information for C/Fortran routines in a DLL","getDLLRegisteredRoutines","base","236"
"363","getElement","Extract or Replace Parts of an Object","Extract","base","183"
"364","geterrmessage","Stop Function Execution","stop","base","543"
"365","getHook","Functions to Get and Set Hooks for Load, Attach, Detach and Unload","userhooks","base","637"
"366","getLoadedDLLs","Get DLLs Loaded in Current Session","getLoadedDLLs","base","238"
"367","getNativeSymbolInfo","Obtain a Description of one or more Native (C/Fortran) Symbols","getNativeSymbolInfo","base","239"
"368","getOption","Options Settings","options","base","386"
"369","getRversion","Numeric Versions","numeric_version","base","381"
"370","getSrcLines","References to Source Files and Code","srcfile","base","535"
"371","getTaskCallbackNames","Query the Names of the Current Internal Top-Level Task Callbacks","taskCallbackNames","base","605"
"372","gettext","Translate Text Messages","gettext","base","241"
"373","gettextf","Use C-style String Formatting Commands","sprintf","base","529"
"374","getwd","Get or Set Working Directory","getwd","base","244"
"375","gl","Generate Factor Levels","gl","base","245"
"376","globalCallingHandlers","Condition Handling and Recovery","conditions","base","94"
"377","globalenv","Environment Access","environment","base","172"
"378","gregexec","Pattern Matching and Replacement","grep","base","245"
"379","gregexpr","Pattern Matching and Replacement","grep","base","245"
"380","grep","Pattern Matching and Replacement","grep","base","245"
"381","grepl","Pattern Matching and Replacement","grep","base","245"
"382","grepRaw","Pattern Matching for Raw Vectors","grepRaw","base","251"
"383","group generic","S3 Group Generic Functions","groupGeneric","base","253"
"384","groupGeneric","S3 Group Generic Functions","groupGeneric","base","253"
"385","grouping","Grouping Permutation","grouping","base","255"
"386","GSC","Environment Variables","EnvVar","base","175"
"387","gsub","Pattern Matching and Replacement","grep","base","245"
"388","gzcon","(De)compress I/O Through Connections","gzcon","base","256"
"389","gzfile","Functions to Manipulate Connections (Files, URLs, ...)","connections","base","99"
"390","hexmode","Integer Numbers Displayed in Hexadecimal","hexmode","base","257"
"391","HOME","Environment Variables","EnvVar","base","175"
"392","I","Inhibit Interpretation/Conversion of Objects","AsIs","base","38"
"393","iconv","Convert Character Vector between Encodings","iconv","base","260"
"394","iconvlist","Convert Character Vector between Encodings","iconv","base","260"
"395","icuGetCollate","Setup Collation by ICU","icuSetCollate","base","263"
"396","icuSetCollate","Setup Collation by ICU","icuSetCollate","base","263"
"397","identical","Test Objects for Exact Equality","identical","base","265"
"398","identity","Identity Function","identity","base","268"
"399","if","Control Flow","Control","base","110"
"400","ifelse","Conditional Element Selection","ifelse","base","268"
"401","Im","Complex Numbers and Basic Functionality","complex","base","92"
"402","in","Control Flow","Control","base","110"
"403","Inf","Finite, Infinite and NaN Numbers","is.finite","base","276"
"404","infinite","Finite, Infinite and NaN Numbers","is.finite","base","276"
"405","infoRDS","Serialization Interface for Single Objects","readRDS","base","460"
"406","inherits","Object Classes","class","base","2555"
"407","integer","Integer Vectors","integer","base","270"
"408","interaction","Compute Factor Interactions","interaction","base","271"
"409","interactive","Is R Running Interactively?","interactive","base","272"
"410","internal generic","Internal Generic Functions","InternalMethods","base","273"
"411","InternalGenerics","Internal Generic Functions","InternalMethods","base","273"
"412","InternalMethods","Internal Generic Functions","InternalMethods","base","273"
"413","intersect","Set Operations","sets","base","506"
"414","intersection","Set Operations","sets","base","506"
"415","intToBits","Convert to or from (Bit/Packed) Raw Vectors","rawConversion","base","450"
"416","intToUtf8","Convert Integer Vectors to or from UTF-8-encoded Character Vectors","utf8Conversion","base","639"
"417","inverse.rle","Run Length Encoding","rle","base","477"
"418","invisible","Change the Print Mode to Invisible","invisible","base","275"
"419","invokeRestart","Condition Handling and Recovery","conditions","base","94"
"420","invokeRestartInteractively","Condition Handling and Recovery","conditions","base","94"
"421","is.array","Multi-way Arrays","array","base","26"
"422","is.atomic","Is an Object Atomic or Recursive?","is.recursive","base","280"
"423","is.call","Function Calls","call","base","64"
"424","is.character","Character Vectors","character","base","75"
"425","is.complex","Complex Numbers and Basic Functionality","complex","base","92"
"426","is.data.frame","Coerce to a Data Frame","as.data.frame","base","28"
"427","is.double","Double-Precision Vectors","double","base","154"
"428","is.element","Set Operations","sets","base","506"
"429","is.environment","Environment Access","environment","base","172"
"430","is.expression","Unevaluated Expressions","expression","base","182"
"431","is.factor","Factors","factor","base","196"
"432","is.finite","Finite, Infinite and NaN Numbers","is.finite","base","276"
"433","is.function","Is an Object of Type (Primitive) Function?","is.function","base","278"
"434","is.infinite","Finite, Infinite and NaN Numbers","is.finite","base","276"
"435","is.integer","Integer Vectors","integer","base","270"
"436","is.language","Is an Object a Language Object?","is.language","base","278"
"437","is.list","Lists - Generic and Dotted Pairs","list","base","310"
"438","is.loaded","Foreign Function Interface","dynload","base","315"
"439","is.logical","Logical Vectors","logical","base","323"
"440","is.matrix","Matrices","matrix","base","340"
"441","is.na","'Not Available' / Missing Values",NA,"base","356"
"442","is.na.numeric_version","Numeric Versions","numeric_version","base","381"
"443","is.na.POSIXlt","Date-Time Classes","DateTimeClasses","base","126"
"444","is.name","Names and Symbols","name","base","358"
"445","is.nan","Finite, Infinite and NaN Numbers","is.finite","base","276"
"446","is.null","The Null Object","NULL","base","376"
"447","is.numeric","Numeric Vectors","numeric","base","378"
"448","is.numeric.difftime","Time Intervals / Differences","difftime","base","146"
"449","is.numeric_version","Numeric Versions","numeric_version","base","381"
"450","is.object","Is an Object 'internally classed'?","is.object","base","279"
"451","is.ordered","Factors","factor","base","196"
"452","is.package_version","Numeric Versions","numeric_version","base","381"
"453","is.pairlist","Lists - Generic and Dotted Pairs","list","base","310"
"454","is.primitive","Is an Object of Type (Primitive) Function?","is.function","base","278"
"455","is.qr","The QR Decomposition of a Matrix","qr","base","426"
"456","is.R","Are we using R, rather than S?","isR","base","3002"
"457","is.raw","Raw Vectors","raw","base","447"
"458","is.recursive","Is an Object Atomic or Recursive?","is.recursive","base","280"
"459","is.single","Is an Object of Single Precision Type?","is.single","base","281"
"460","is.symbol","Names and Symbols","name","base","358"
"461","is.table","Cross Tabulation and Table Creation","table","base","596"
"462","is.unsorted","Test if an Object is Not Sorted","is.unsorted","base","282"
"463","is.vector","Vectors - Creation, Coercion, etc","vector","base","643"
"464","isa","Object Classes","class","base","2555"
"465","isatty","Display Connections","showConnections","base","508"
"466","isdebugged","Debug a Function","debug","base","132"
"467","isFALSE","Logical Operators","Logic","base","321"
"468","isIncomplete","Functions to Manipulate Connections (Files, URLs, ...)","connections","base","99"
"469","isNamespaceLoaded","Loading and Unloading Name Spaces","ns-load","base","373"
"470","ISOdate","Date-time Conversion Functions from Numeric Representations","ISOdatetime","base","283"
"471","ISOdatetime","Date-time Conversion Functions from Numeric Representations","ISOdatetime","base","283"
